800,600
0,0,1
0,20,1
0,40,1
0,60,1
0,80,1
0,100,1
0,120,1
0,140,1
0,160,1
0,180,1
0,200,1
0,220,1
0,240,1
0,260,1
0,280,1
0,300,1
0,320,1
0,340,1
0,360,1
0,380,1
0,400,1
0,420,1
0,440,1
0,460,1
0,480,1
0,500,1
0,520,1
0,540,1
0,560,1
0,580,1
20,0,1
20,20,1
20,40,1
20,60,1
20,80,1
20,100,1
20,120,1
20,140,1
20,160,1
20,180,1
20,200,1
20,220,1
20,240,1
20,260,1
20,280,1
20,300,1
20,320,1
20,340,1
20,360,1
20,380,3
20,400,2
20,420,2
20,440,2
20,460,2
20,480,2
20,500,2
20,520,2
20,540,3
20,560,1
20,580,1
40,0,1
40,20,1
40,40,1
40,60,1
40,80,1
40,100,1
40,120,1
40,140,1
40,160,1
40,180,1
40,200,1
40,220,1
40,240,1
40,260,2
40,280,2
40,300,2
40,320,2
40,340,2
40,360,2
40,380,2
40,400,2
40,420,2
40,440,2
40,460,2
40,480,2
40,500,3
40,520,2
40,540,3
40,560,1
40,580,1
60,0,1
60,20,1
60,40,1
60,60,1
60,80,1
60,100,1
60,120,1
60,140,1
60,160,1
60,180,1
60,200,1
60,220,1
60,240,1
60,260,2
60,280,2
60,300,2
60,320,2
60,340,2
60,360,2
60,380,2
60,400,2
60,420,2
60,440,2
60,460,2
60,480,2
60,500,1
60,520,2
60,540,3
60,560,1
60,580,1
80,0,1
80,20,1
80,40,1
80,60,1
80,80,1
80,100,1
80,120,1
80,140,1
80,160,1
80,180,1
80,200,1
80,220,1
80,240,1
80,260,2
80,280,2
80,300,1
80,320,1
80,340,1
80,360,1
80,380,3
80,400,2
80,420,2
80,440,2
80,460,2
80,480,2
80,500,1
80,520,2
80,540,3
80,560,1
80,580,1
100,0,1
100,20,1
100,40,1
100,60,1
100,80,1
100,100,1
100,120,1
100,140,1
100,160,1
100,180,1
100,200,1
100,220,1
100,240,1
100,260,2
100,280,2
100,300,1
100,320,1
100,340,1
100,360,1
100,380,3
100,400,2
100,420,2
100,440,2
100,460,2
100,480,2
100,500,3
100,520,2
100,540,3
100,560,1
100,580,1
120,0,1
120,20,1
120,40,1
120,60,1
120,80,1
120,100,1
120,120,1
120,140,1
120,160,1
120,180,1
120,200,1
120,220,1
120,240,1
120,260,2
120,280,2
120,300,2
120,320,1
120,340,1
120,360,1
120,380,3
120,400,2
120,420,2
120,440,2
120,460,2
120,480,2
120,500,2
120,520,2
120,540,3
120,560,1
120,580,1
140,0,1
140,20,1
140,40,1
140,60,1
140,80,1
140,100,1
140,120,1
140,140,1
140,160,1
140,180,1
140,200,1
140,220,1
140,240,1
140,260,1
140,280,2
140,300,2
140,320,2
140,340,1
140,360,1
140,380,3
140,400,2
140,420,2
140,440,2
140,460,2
140,480,2
140,500,2
140,520,2
140,540,3
140,560,1
140,580,1
160,0,1
160,20,1
160,40,1
160,60,1
160,80,1
160,100,1
160,120,1
160,140,1
160,160,1
160,180,1
160,200,1
160,220,1
160,240,1
160,260,1
160,280,1
160,300,2
160,320,2
160,340,2
160,360,1
160,380,3
160,400,2
160,420,2
160,440,2
160,460,2
160,480,2
160,500,2
160,520,2
160,540,3
160,560,1
160,580,1
180,0,1
180,20,1
180,40,1
180,60,1
180,80,1
180,100,1
180,120,1
180,140,1
180,160,1
180,180,1
180,200,1
180,220,1
180,240,1
180,260,1
180,280,1
180,300,1
180,320,2
180,340,2
180,360,1
180,380,3
180,400,2
180,420,2
180,440,2
180,460,2
180,480,2
180,500,2
180,520,2
180,540,3
180,560,1
180,580,1
200,0,1
200,20,1
200,40,1
200,60,1
200,80,1
200,100,1
200,120,1
200,140,1
200,160,1
200,180,1
200,200,3
200,220,2
200,240,2
200,260,2
200,280,2
200,300,3
200,320,2
200,340,2
200,360,1
200,380,3
200,400,2
200,420,2
200,440,2
200,460,2
200,480,2
200,500,2
200,520,2
200,540,3
200,560,1
200,580,1
220,0,1
220,20,1
220,40,2
220,60,2
220,80,2
220,100,2
220,120,3
220,140,2
220,160,2
220,180,2
220,200,2
220,220,2
220,240,2
220,260,2
220,280,2
220,300,2
220,320,2
220,340,2
220,360,1
220,380,3
220,400,2
220,420,2
220,440,2
220,460,2
220,480,3
220,500,2
220,520,2
220,540,3
220,560,1
220,580,1
240,0,1
240,20,1
240,40,2
240,60,2
240,80,3
240,100,2
240,120,2
240,140,2
240,160,3
240,180,2
240,200,2
240,220,2
240,240,2
240,260,3
240,280,2
240,300,2
240,320,2
240,340,2
240,360,1
240,380,3
240,400,2
240,420,2
240,440,2
240,460,2
240,480,1
240,500,2
240,520,2
240,540,3
240,560,1
240,580,1
260,0,1
260,20,1
260,40,2
260,60,2
260,80,1
260,100,1
260,120,1
260,140,1
260,160,1
260,180,1
260,200,1
260,220,1
260,240,1
260,260,1
260,280,1
260,300,1
260,320,1
260,340,1
260,360,1
260,380,3
260,400,2
260,420,2
260,440,2
260,460,2
260,480,1
260,500,2
260,520,2
260,540,3
260,560,1
260,580,1
280,0,1
280,20,1
280,40,2
280,60,2
280,80,1
280,100,1
280,120,1
280,140,1
280,160,1
280,180,1
280,200,1
280,220,1
280,240,1
280,260,1
280,280,1
280,300,1
280,320,1
280,340,1
280,360,1
280,380,3
280,400,2
280,420,2
280,440,2
280,460,2
280,480,3
280,500,2
280,520,2
280,540,3
280,560,1
280,580,1
300,0,1
300,20,1
300,40,2
300,60,2
300,80,1
300,100,1
300,120,1
300,140,1
300,160,1
300,180,1
300,200,1
300,220,1
300,240,1
300,260,1
300,280,1
300,300,1
300,320,1
300,340,1
300,360,1
300,380,3
300,400,2
300,420,2
300,440,2
300,460,2
300,480,2
300,500,2
300,520,2
300,540,3
300,560,1
300,580,1
320,0,1
320,20,1
320,40,2
320,60,2
320,80,1
320,100,1
320,120,1
320,140,1
320,160,1
320,180,1
320,200,1
320,220,1
320,240,1
320,260,1
320,280,1
320,300,1
320,320,1
320,340,1
320,360,1
320,380,3
320,400,2
320,420,2
320,440,2
320,460,2
320,480,2
320,500,2
320,520,2
320,540,3
320,560,1
320,580,1
340,0,1
340,20,1
340,40,2
340,60,2
340,80,1
340,100,1
340,120,1
340,140,1
340,160,1
340,180,1
340,200,1
340,220,1
340,240,1
340,260,1
340,280,1
340,300,1
340,320,1
340,340,1
340,360,1
340,380,3
340,400,2
340,420,2
340,440,2
340,460,2
340,480,2
