800,600
0,0,1
0,20,1
0,40,1
0,60,1
0,80,1
0,100,1
0,120,1
0,140,1
0,160,1
0,180,1
0,200,1
0,220,1
0,240,1
0,260,1
0,280,1
0,300,1
0,320,1
0,340,1
0,360,1
0,380,1
0,400,1
0,420,1
0,440,1
0,460,1
0,480,1
0,500,1
0,520,1
0,540,1
0,560,1
0,580,1
20,0,1
20,20,1
20,40,1
20,60,1
20,80,1
20,100,1
20,120,1
20,140,1
20,160,1
20,180,1
20,200,1
20,220,1
20,240,1
20,260,1
20,280,1
20,300,1
20,320,1
20,340,1
20,360,1
20,380,1
20,400,1
20,420,1
20,440,1
20,460,1
20,480,1
20,500,1
20,520,1
20,540,1
20,560,1
20,580,1
40,0,1
40,20,1
40,40,1
40,60,1
40,80,1
40,100,1
40,120,1
40,140,1
40,160,1
40,180,1
40,200,1
40,220,1
40,240,1
40,260,1
40,280,1
40,300,1
40,320,1
40,340,1
40,360,1
40,380,1
40,400,1
40,420,1
40,440,1
40,460,1
40,480,1
40,500,1
40,520,1
40,540,1
40,560,1
40,580,1
60,0,1
60,20,1
60,40,1
60,60,1
60,80,1
60,100,1
60,120,1
60,140,1
60,160,1
60,180,1
60,200,1
60,220,1
60,240,1
60,260,1
60,280,1
60,300,1
60,320,1
60,340,1
60,360,1
60,380,1
60,400,1
60,420,1
60,440,1
60,460,1
60,480,1
60,500,1
60,520,1
60,540,1
60,560,1
60,580,1
80,0,1
80,20,1
80,40,1
80,60,1
80,80,1
80,100,1
80,120,1
80,140,1
80,160,1
80,180,1
80,200,1
80,220,1
80,240,1
80,260,3
80,280,3
80,300,3
80,320,3
80,340,3
80,360,3
80,380,1
80,400,1
80,420,1
80,440,1
80,460,1
80,480,1
80,500,1
80,520,1
80,540,1
80,560,1
80,580,1
100,0,1
100,20,1
100,40,1
100,60,1
100,80,1
100,100,1
100,120,1
100,140,1
100,160,1
100,180,1
100,200,1
100,220,2
100,240,2
100,260,2
100,280,2
100,300,2
100,320,2
100,340,2
100,360,2
100,380,2
100,400,1
100,420,1
100,440,1
100,460,1
100,480,1
100,500,1
100,520,1
100,540,1
100,560,1
100,580,1
120,0,1
120,20,1
120,40,1
120,60,1
120,80,1
120,100,1
120,120,1
120,140,1
120,160,1
120,180,3
120,200,3
120,220,2
120,240,2
120,260,2
120,280,2
120,300,2
120,320,2
120,340,2
120,360,2
120,380,2
120,400,3
120,420,3
120,440,1
120,460,1
120,480,1
120,500,1
120,520,1
120,540,1
120,560,1
120,580,1
140,0,1
140,20,1
140,40,1
140,60,1
140,80,1
140,100,1
140,120,1
140,140,3
140,160,2
140,180,2
140,200,2
140,220,2
140,240,2
140,260,2
140,280,2
140,300,2
140,320,1
140,340,2
140,360,2
140,380,2
140,400,2
140,420,3
140,440,1
140,460,1
140,480,1
140,500,1
140,520,1
140,540,1
140,560,1
140,580,1
160,0,1
160,20,1
160,40,1
160,60,1
160,80,1
160,100,1
160,120,3
160,140,3
160,160,2
160,180,2
160,200,2
160,220,2
160,240,2
160,260,2
160,280,2
160,300,2
160,320,2
160,340,2
160,360,2
160,380,2
160,400,2
160,420,2
160,440,2
160,460,3
160,480,1
160,500,1
160,520,1
160,540,1
160,560,1
160,580,1
180,0,1
180,20,1
180,40,1
180,60,1
180,80,1
180,100,1
180,120,2
180,140,2
180,160,2
180,180,2
180,200,2
180,220,2
180,240,2
180,260,2
180,280,2
180,300,2
180,320,2
180,340,2
180,360,2
180,380,2
180,400,2
180,420,1
180,440,2
180,460,2
180,480,3
180,500,1
180,520,1
180,540,1
180,560,1
180,580,1
200,0,1
200,20,1
200,40,1
200,60,1
200,80,3
200,100,2
200,120,2
200,140,2
200,160,2
200,180,2
200,200,2
200,220,2
200,240,2
200,260,3
200,280,2
200,300,2
200,320,2
200,340,2
200,360,2
200,380,2
200,400,2
200,420,2
200,440,2
200,460,2
200,480,3
200,500,1
200,520,1
200,540,1
200,560,1
200,580,1
220,0,1
220,20,1
220,40,1
220,60,1
220,80,3
220,100,2
220,120,2
220,140,2
220,160,2
220,180,2
220,200,2
220,220,2
220,240,2
220,260,2
220,280,2
220,300,1
220,320,2
220,340,2
220,360,2
220,380,2
220,400,2
220,420,3
220,440,2
220,460,2
220,480,2
220,500,2
220,520,3
220,540,1
220,560,1
220,580,1
240,0,1
240,20,1
240,40,1
240,60,1
240,80,2
240,100,2
240,120,2
240,140,2
240,160,2
240,180,2
240,200,2
240,220,2
240,240,2
240,260,3
240,280,2
240,300,2
240,320,2
240,340,2
240,360,1
240,380,2
240,400,2
240,420,2
240,440,2
240,460,2
240,480,2
240,500,2
240,520,2
240,540,3
240,560,1
240,580,1
260,0,1
260,20,1
260,40,1
260,60,2
260,80,2
260,100,2
260,120,2
260,140,2
260,160,2
260,180,2
260,200,2
260,220,2
260,240,2
260,260,2
260,280,2
260,300,2
260,320,2
260,340,2
260,360,2
260,380,2
260,400,2
260,420,2
260,440,2
260,460,2
260,480,2
260,500,2
260,520,2
260,540,3
260,560,1
260,580,1
280,0,1
280,20,1
280,40,2
280,60,2
280,80,2
280,100,3
280,120,2
280,140,2
280,160,2
280,180,1
280,200,2
280,220,2
280,240,2
280,260,2
280,280,2
280,300,2
280,320,2
280,340,2
280,360,2
280,380,2
280,400,2
280,420,1
280,440,2
280,460,2
280,480,2
280,500,1
280,520,2
280,540,2
280,560,1
280,580,1
300,0,1
300,20,1
300,40,2
300,60,2
300,80,2
300,100,2
300,120,2
300,140,2
300,160,2
300,180,2
300,200,2
300,220,2
300,240,2
300,260,3
300,280,3
300,300,3
300,320,2
300,340,2
300,360,2
300,380,2
300,400,2
300,420,2
300,440,3
300,460,2
300,480,2
300,500,2
300,520,2
300,540,2
300,560,2
300,580,1
320,0,1
320,20,3
320,40,2
320,60,2
320,80,2
320,100,2
320,120,2
320,140,2
320,160,2
320,180,2
320,200,2
320,220,2
320,240,3
320,260,1
320,280,1
320,300,1
320,320,3
320,340,2
320,360,2
320,380,2
320,400,3
320,420,2
320,440,2
320,460,2
320,480,2
320,500,2
320,520,2
320,540,2
320,560,2
320,580,1
340,0,1
340,20,3
340,40,2
340,60,2
340,80,2
340,100,2
340,120,2
340,140,2
340,160,2
340,180,2
340,200,2
340,220,3
340,240,1
340,260,1
340,280,1
340,300,1
340,320,1
340,340,3
340,360,2
340,380,2
340,400,2
340,420,2
340,440,2
340,460,2
340,480,2
