800,600
0,0,1
0,20,1
0,40,1
0,60,1
0,80,1
0,100,1
0,120,1
0,140,1
0,160,1
0,180,1
0,200,1
0,220,1
0,240,1
0,260,1
0,280,1
0,300,1
0,320,1
0,340,1
0,360,1
0,380,1
0,400,1
0,420,1
0,440,1
0,460,1
0,480,1
0,500,1
0,520,1
0,540,1
0,560,1
0,580,1
20,0,1
20,20,1
20,40,1
20,60,1
20,80,1
20,100,1
20,120,1
20,140,1
20,160,1
20,180,1
20,200,1
20,220,1
20,240,2
20,260,2
20,280,2
20,300,2
20,320,2
20,340,2
20,360,2
20,380,2
20,400,2
20,420,2
20,440,2
20,460,2
20,480,2
20,500,2
20,520,2
20,540,2
20,560,1
20,580,1
40,0,1
40,20,1
40,40,1
40,60,1
40,80,1
40,100,1
40,120,1
40,140,1
40,160,1
40,180,1
40,200,1
40,220,1
40,240,2
40,260,2
40,280,1
40,300,1
40,320,1
40,340,1
40,360,1
40,380,1
40,400,1
40,420,1
40,440,1
40,460,1
40,480,1
40,500,1
40,520,2
40,540,2
40,560,1
40,580,1
60,0,1
60,20,1
60,40,1
60,60,1
60,80,1
60,100,1
60,120,1
60,140,1
60,160,1
60,180,1
60,200,1
60,220,1
60,240,2
60,260,2
60,280,1
60,300,2
60,320,2
60,340,2
60,360,2
60,380,2
60,400,2
60,420,2
60,440,2
60,460,2
60,480,2
60,500,2
60,520,2
60,540,2
60,560,1
60,580,1
80,0,1
80,20,1
80,40,1
80,60,1
80,80,1
80,100,1
80,120,3
80,140,3
80,160,1
80,180,1
80,200,1
80,220,1
80,240,2
80,260,2
80,280,1
80,300,2
80,320,2
80,340,2
80,360,2
80,380,2
80,400,2
80,420,2
80,440,2
80,460,2
80,480,2
80,500,2
80,520,2
80,540,2
80,560,1
80,580,1
100,0,1
100,20,1
100,40,2
100,60,2
100,80,2
100,100,2
100,120,2
100,140,2
100,160,2
100,180,2
100,200,2
100,220,2
100,240,2
100,260,2
100,280,1
100,300,2
100,320,2
100,340,1
100,360,1
100,380,1
100,400,1
100,420,1
100,440,1
100,460,1
100,480,1
100,500,1
100,520,1
100,540,1
100,560,1
100,580,1
120,0,1
120,20,3
120,40,2
120,60,2
120,80,2
120,100,2
120,120,2
120,140,2
120,160,2
120,180,2
120,200,2
120,220,2
120,240,2
120,260,2
120,280,1
120,300,2
120,320,2
120,340,1
120,360,2
120,380,2
120,400,2
120,420,2
120,440,2
120,460,1
120,480,2
120,500,2
120,520,2
120,540,2
120,560,1
120,580,1
140,0,1
140,20,3
140,40,2
140,60,2
140,80,3
140,100,1
140,120,1
140,140,1
140,160,1
140,180,3
140,200,3
140,220,1
140,240,1
140,260,1
140,280,1
140,300,2
140,320,2
140,340,1
140,360,2
140,380,2
140,400,2
140,420,2
140,440,2
140,460,1
140,480,2
140,500,2
140,520,2
140,540,2
140,560,1
140,580,1
160,0,1
160,20,3
160,40,2
160,60,2
160,80,2
160,100,1
160,120,1
160,140,1
160,160,1
160,180,1
160,200,1
160,220,1
160,240,1
160,260,1
160,280,1
160,300,2
160,320,2
160,340,1
160,360,2
160,380,2
160,400,1
160,420,2
160,440,2
160,460,1
160,480,2
160,500,2
160,520,1
160,540,2
160,560,1
160,580,1
180,0,1
180,20,1
180,40,2
180,60,2
180,80,2
180,100,1
180,120,1
180,140,1
180,160,1
180,180,1
180,200,1
180,220,1
180,240,1
180,260,1
180,280,1
180,300,2
180,320,2
180,340,1
180,360,2
180,380,2
180,400,1
180,420,2
180,440,2
180,460,1
180,480,2
180,500,2
180,520,1
180,540,2
180,560,1
180,580,1
200,0,1
200,20,1
200,40,2
200,60,2
200,80,2
200,100,1
200,120,1
200,140,1
200,160,1
200,180,1
200,200,1
200,220,1
200,240,1
200,260,1
200,280,1
200,300,2
200,320,2
200,340,1
200,360,2
200,380,2
200,400,1
200,420,2
200,440,2
200,460,1
200,480,2
200,500,2
200,520,1
200,540,2
200,560,1
200,580,1
220,0,1
220,20,3
220,40,2
220,60,2
220,80,2
220,100,3
220,120,3
220,140,3
220,160,3
220,180,1
220,200,1
220,220,1
220,240,1
220,260,3
220,280,1
220,300,2
220,320,2
220,340,1
220,360,2
220,380,2
220,400,1
220,420,2
220,440,2
220,460,1
220,480,2
220,500,2
220,520,1
220,540,2
220,560,1
220,580,1
240,0,1
240,20,3
240,40,2
240,60,2
240,80,3
240,100,3
240,120,2
240,140,2
240,160,2
240,180,2
240,200,2
240,220,2
240,240,2
240,260,3
240,280,1
240,300,2
240,320,2
240,340,2
240,360,2
240,380,2
240,400,1
240,420,2
240,440,2
240,460,2
240,480,2
240,500,2
240,520,1
240,540,2
240,560,1
240,580,1
260,0,1
260,20,3
260,40,2
260,60,2
260,80,2
260,100,3
260,120,2
260,140,2
260,160,2
260,180,2
260,200,2
260,220,2
260,240,2
260,260,3
260,280,1
260,300,2
260,320,2
260,340,2
260,360,2
260,380,2
260,400,1
260,420,2
260,440,2
260,460,2
260,480,2
260,500,2
260,520,1
260,540,2
260,560,1
260,580,1
280,0,1
280,20,1
280,40,2
280,60,2
280,80,2
280,100,2
280,120,2
280,140,2
280,160,2
280,180,2
280,200,2
280,220,2
280,240,2
280,260,3
280,280,1
280,300,1
280,320,1
280,340,1
280,360,1
280,380,1
280,400,1
280,420,1
280,440,1
280,460,1
280,480,1
280,500,1
280,520,1
280,540,2
280,560,1
280,580,1
300,0,1
300,20,1
300,40,2
300,60,2
300,80,2
300,100,2
300,120,2
300,140,2
300,160,2
300,180,3
300,200,2
300,220,2
300,240,2
300,260,3
300,280,1
300,300,2
300,320,2
300,340,2
300,360,2
300,380,2
300,400,2
300,420,1
300,440,2
300,460,2
300,480,2
300,500,2
300,520,2
300,540,2
300,560,1
300,580,1
320,0,1
320,20,1
320,40,1
320,60,1
320,80,1
320,100,1
320,120,1
320,140,1
320,160,1
320,180,1
320,200,2
320,220,2
320,240,2
320,260,2
320,280,1
320,300,2
320,320,2
320,340,2
320,360,2
320,380,2
320,400,2
320,420,2
320,440,2
320,460,2
320,480,2
320,500,2
320,520,2
320,540,2
320,560,1
320,580,1
340,0,1
340,20,1
340,40,2
340,60,2
340,80,3
340,100,2
340,120,2
340,140,2
340,160,2
340,180,2
340,200,2
340,220,2
340,240,2
340,260,2
340,280,1
340,300,2
340,320,2
340,340,2
340,360,2
340,380,2
340,400,2
340,420,2
340,440,2
340,460,2
340,480,2
