800,600
0,0,2
0,20,2
0,40,2
0,60,2
0,80,2
0,100,2
0,120,2
0,140,2
0,160,2
0,180,2
0,200,2
0,220,2
0,240,2
0,260,2
0,280,2
0,300,2
0,320,2
0,340,2
0,360,2
0,380,2
0,400,2
0,420,1
0,440,1
0,460,1
0,480,1
0,500,1
0,520,1
0,540,1
0,560,1
0,580,1
20,0,2
20,20,2
20,40,2
20,60,2
20,80,2
20,100,2
20,120,2
20,140,2
20,160,2
20,180,2
20,200,2
20,220,2
20,240,2
20,260,3
20,280,2
20,300,2
20,320,2
20,340,2
20,360,2
20,380,2
20,400,2
20,420,1
20,440,1
20,460,1
20,480,1
20,500,1
20,520,1
20,540,1
20,560,1
20,580,1
40,0,2
40,20,2
40,40,2
40,60,2
40,80,2
40,100,2
40,120,2
40,140,2
40,160,2
40,180,2
40,200,2
40,220,2
40,240,2
40,260,2
40,280,2
40,300,2
40,320,2
40,340,2
40,360,2
40,380,2
40,400,2
40,420,1
40,440,1
40,460,1
40,480,1
40,500,1
40,520,1
40,540,1
40,560,1
40,580,1
60,0,2
60,20,2
60,40,2
60,60,2
60,80,2
60,100,2
60,120,2
60,140,2
60,160,2
60,180,2
60,200,2
60,220,2
60,240,2
60,260,2
60,280,2
60,300,2
60,320,2
60,340,2
60,360,2
60,380,2
60,400,1
60,420,1
60,440,1
60,460,1
60,480,1
60,500,1
60,520,1
60,540,1
60,560,1
60,580,1
80,0,2
80,20,2
80,40,2
80,60,2
80,80,2
80,100,2
80,120,2
80,140,2
80,160,2
80,180,2
80,200,2
80,220,2
80,240,2
80,260,2
80,280,2
80,300,2
80,320,2
80,340,2
80,360,1
80,380,1
80,400,1
80,420,1
80,440,1
80,460,1
80,480,1
80,500,1
80,520,1
80,540,1
80,560,1
80,580,1
100,0,2
100,20,2
100,40,2
100,60,2
100,80,2
100,100,2
100,120,2
100,140,2
100,160,2
100,180,2
100,200,2
100,220,2
100,240,2
100,260,2
100,280,2
100,300,2
100,320,2
100,340,1
100,360,1
100,380,1
100,400,1
100,420,1
100,440,1
100,460,1
100,480,1
100,500,1
100,520,1
100,540,1
100,560,1
100,580,1
120,0,2
120,20,2
120,40,2
120,60,2
120,80,2
120,100,2
120,120,2
120,140,2
120,160,2
120,180,2
120,200,2
120,220,2
120,240,2
120,260,2
120,280,2
120,300,2
120,320,1
120,340,1
120,360,1
120,380,1
120,400,1
120,420,1
120,440,1
120,460,1
120,480,1
120,500,1
120,520,1
120,540,1
120,560,1
120,580,1
140,0,2
140,20,2
140,40,2
140,60,2
140,80,2
140,100,2
140,120,2
140,140,2
140,160,2
140,180,2
140,200,2
140,220,2
140,240,2
140,260,2
140,280,2
140,300,3
140,320,1
140,340,1
140,360,1
140,380,1
140,400,1
140,420,1
140,440,1
140,460,1
140,480,1
140,500,1
140,520,1
140,540,1
140,560,1
140,580,1
160,0,2
160,20,2
160,40,2
160,60,2
160,80,2
160,100,2
160,120,2
160,140,2
160,160,2
160,180,2
160,200,2
160,220,2
160,240,2
160,260,2
160,280,2
160,300,2
160,320,2
160,340,1
160,360,1
160,380,1
160,400,1
160,420,1
160,440,1
160,460,1
160,480,1
160,500,1
160,520,1
160,540,1
160,560,1
160,580,1
180,0,2
180,20,2
180,40,2
180,60,2
180,80,2
180,100,2
180,120,2
180,140,2
180,160,2
180,180,2
180,200,3
180,220,2
180,240,2
180,260,2
180,280,2
180,300,2
180,320,2
180,340,2
180,360,1
180,380,1
180,400,1
180,420,1
180,440,1
180,460,1
180,480,1
180,500,1
180,520,1
180,540,1
180,560,1
180,580,1
200,0,2
200,20,2
200,40,2
200,60,2
200,80,2
200,100,2
200,120,2
200,140,2
200,160,2
200,180,2
200,200,2
200,220,2
200,240,2
200,260,2
200,280,2
200,300,2
200,320,2
200,340,2
200,360,2
200,380,1
200,400,1
200,420,1
200,440,1
200,460,1
200,480,1
200,500,1
200,520,1
200,540,1
200,560,1
200,580,1
220,0,2
220,20,2
220,40,2
220,60,2
220,80,2
220,100,2
220,120,2
220,140,2
220,160,2
220,180,2
220,200,2
220,220,2
220,240,2
220,260,2
220,280,2
220,300,2
220,320,2
220,340,2
220,360,2
220,380,1
220,400,1
220,420,1
220,440,1
220,460,1
220,480,1
220,500,1
220,520,1
220,540,1
220,560,1
220,580,1
240,0,2
240,20,2
240,40,2
240,60,2
240,80,2
240,100,2
240,120,2
240,140,2
240,160,2
240,180,2
240,200,2
240,220,2
240,240,2
240,260,2
240,280,2
240,300,2
240,320,2
240,340,2
240,360,2
240,380,2
240,400,1
240,420,1
240,440,1
240,460,1
240,480,1
240,500,1
240,520,1
240,540,1
240,560,1
240,580,1
260,0,2
260,20,2
260,40,2
260,60,2
260,80,2
260,100,2
260,120,2
260,140,2
260,160,2
260,180,2
260,200,2
260,220,2
260,240,2
260,260,3
260,280,2
260,300,2
260,320,2
260,340,2
260,360,2
260,380,2
260,400,1
260,420,1
260,440,1
260,460,1
260,480,1
260,500,1
260,520,1
260,540,1
260,560,1
260,580,1
280,0,2
280,20,2
280,40,2
280,60,2
280,80,2
280,100,2
280,120,2
280,140,2
280,160,2
280,180,2
280,200,2
280,220,2
280,240,2
280,260,2
280,280,2
280,300,2
280,320,2
280,340,2
280,360,2
280,380,2
280,400,1
280,420,1
280,440,1
280,460,1
280,480,1
280,500,1
280,520,1
280,540,1
280,560,1
280,580,1
300,0,2
300,20,2
300,40,2
300,60,2
300,80,2
300,100,2
300,120,2
300,140,2
300,160,2
300,180,2
300,200,2
300,220,2
300,240,2
300,260,2
300,280,2
300,300,2
300,320,2
300,340,2
300,360,2
300,380,1
300,400,1
300,420,1
300,440,1
300,460,1
300,480,1
300,500,1
300,520,1
300,540,1
300,560,1
300,580,1
320,0,2
320,20,2
320,40,2
320,60,2
320,80,2
320,100,2
320,120,2
320,140,2
320,160,2
320,180,2
320,200,2
320,220,2
320,240,2
320,260,2
320,280,2
320,300,2
320,320,2
320,340,3
320,360,1
320,380,1
320,400,1
320,420,1
320,440,1
320,460,1
320,480,1
320,500,1
320,520,1
320,540,1
320,560,1
320,580,1
340,0,2
340,20,2
340,40,2
340,60,2
340,80,2
340,100,2
340,120,2
340,140,2
340,160,2
340,180,2
340,200,2
340,220,2
340,240,2
340,260,2
340,280,2
340,300,2
340,320,2
340,340,1
340,360,1
340,380,1
340,400,1
340,420,1
340,440,1
340,460,1
340,480,1
340,500,1
340,520,1
340,540,1
340,560,1
340,580,1
360,0,2
360,20,2
360,40,2
360,60,2
360,80,2
360,100,2
360,120,2
360,140,3
360,160,2
360,180,2
360,200,2
360,220,2
360,240,2
360,260,2
360,280,2
360,300,2
360,320,1
360,340,1
360,360,1
360,380,1
360,400,1
360,420,1
360,440,1
360,460,1
360,480,1
360,500,1
360,520,1
360,540,1
360,560,1
360,580,1
380,0,2
380,20,2
380,40,2
380,60,2
380,80,2
380,100,2
380,120,2
380,140,2
380,160,2
380,180,2
380,200,2
380,220,2
380,240,2
380,260,1
380,280,1
380,300,1
380,320,1
380,340,1
380,360,1
380,380,1
380,400,1
380,420,1
380,440,1
380,460,1
380,480,1
380,500,1
380,520,1
380,540,1
380,560,1
380,580,1
400,0,2
400,20,2
400,40,2
400,60,2
400,80,2
400,100,2
400,120,2
400,140,2
400,160,2
400,180,2
400,200,2
400,220,2
400,240,1
400,260,1
400,280,1
400,300,1
400,320,1
400,340,1
400,360,1
