800,600
0,0,1
0,20,1
0,40,1
0,60,1
0,80,1
0,100,1
0,120,1
0,140,1
0,160,1
0,180,1
0,200,1
0,220,1
0,240,1
0,260,1
0,280,1
0,300,1
0,320,1
0,340,1
0,360,1
0,380,1
0,400,1
0,420,1
0,440,1
0,460,1
0,480,1
0,500,1
0,520,1
0,540,1
0,560,1
0,580,1
20,0,1
20,20,1
20,40,1
20,60,1
20,80,1
20,100,1
20,120,1
20,140,1
20,160,1
20,180,1
20,200,1
20,220,1
20,240,1
20,260,1
20,280,1
20,300,1
20,320,1
20,340,1
20,360,1
20,380,1
20,400,1
20,420,1
20,440,1
20,460,1
20,480,1
20,500,1
20,520,1
20,540,1
20,560,1
20,580,1
40,0,1
40,20,1
40,40,3
40,60,3
40,80,3
40,100,3
40,120,2
40,140,2
40,160,2
40,180,2
40,200,2
40,220,2
40,240,2
40,260,2
40,280,3
40,300,3
40,320,3
40,340,3
40,360,3
40,380,2
40,400,2
40,420,2
40,440,1
40,460,2
40,480,2
40,500,3
40,520,3
40,540,3
40,560,1
40,580,1
60,0,1
60,20,1
60,40,3
60,60,3
60,80,3
60,100,2
60,120,2
60,140,2
60,160,2
60,180,2
60,200,2
60,220,2
60,240,2
60,260,2
60,280,2
60,300,3
60,320,3
60,340,3
60,360,2
60,380,2
60,400,2
60,420,2
60,440,1
60,460,2
60,480,3
60,500,3
60,520,3
60,540,3
60,560,1
60,580,1
80,0,1
80,20,1
80,40,3
80,60,3
80,80,2
80,100,2
80,120,2
80,140,2
80,160,2
80,180,2
80,200,2
80,220,2
80,240,1
80,260,2
80,280,2
80,300,2
80,320,3
80,340,2
80,360,2
80,380,2
80,400,2
80,420,2
80,440,2
80,460,3
80,480,3
80,500,3
80,520,3
80,540,2
80,560,1
80,580,1
100,0,1
100,20,1
100,40,3
100,60,2
100,80,2
100,100,2
100,120,2
100,140,1
100,160,2
100,180,2
100,200,2
100,220,2
100,240,2
100,260,2
100,280,2
100,300,2
100,320,2
100,340,2
100,360,2
100,380,2
100,400,1
100,420,2
100,440,2
100,460,3
100,480,3
100,500,3
100,520,2
100,540,2
100,560,1
100,580,1
120,0,1
120,20,1
120,40,3
120,60,2
120,80,2
120,100,2
120,120,2
120,140,1
120,160,2
120,180,2
120,200,2
120,220,2
120,240,2
120,260,2
120,280,2
120,300,2
120,320,2
120,340,2
120,360,2
120,380,2
120,400,1
120,420,2
120,440,3
120,460,3
120,480,3
120,500,2
120,520,2
120,540,2
120,560,1
120,580,1
140,0,1
140,20,1
140,40,2
140,60,2
140,80,2
140,100,2
140,120,2
140,140,2
140,160,2
140,180,2
140,200,2
140,220,2
140,240,2
140,260,1
140,280,2
140,300,2
140,320,2
140,340,2
140,360,2
140,380,2
140,400,2
140,420,3
140,440,3
140,460,3
140,480,3
140,500,2
140,520,2
140,540,2
140,560,1
140,580,1
160,0,1
160,20,1
160,40,2
160,60,2
160,80,2
160,100,2
160,120,2
160,140,2
160,160,2
160,180,2
160,200,2
160,220,2
160,240,2
160,260,1
160,280,2
160,300,2
160,320,2
160,340,2
160,360,2
160,380,2
160,400,3
160,420,3
160,440,3
160,460,2
160,480,2
160,500,2
160,520,2
160,540,2
160,560,1
160,580,1
180,0,1
180,20,1
180,40,2
180,60,2
180,80,2
180,100,2
180,120,2
180,140,2
180,160,2
180,180,2
180,200,2
180,220,2
180,240,2
180,260,2
180,280,2
180,300,2
180,320,2
180,340,1
180,360,1
180,380,3
180,400,3
180,420,3
180,440,2
180,460,2
180,480,2
180,500,2
180,520,2
180,540,2
180,560,1
180,580,1
200,0,1
200,20,1
200,40,2
200,60,2
200,80,2
200,100,1
200,120,1
200,140,2
200,160,2
200,180,2
200,200,2
200,220,2
200,240,2
200,260,2
200,280,2
200,300,2
200,320,2
200,340,1
200,360,3
200,380,3
200,400,3
200,420,3
200,440,2
200,460,2
200,480,2
200,500,2
200,520,2
200,540,2
200,560,1
200,580,1
220,0,1
220,20,1
220,40,2
220,60,2
220,80,2
220,100,2
220,120,2
220,140,2
220,160,2
220,180,3
220,200,2
220,220,2
220,240,2
220,260,2
220,280,2
220,300,2
220,320,2
220,340,2
220,360,3
220,380,3
220,400,3
220,420,3
220,440,2
220,460,2
220,480,2
220,500,2
220,520,2
220,540,2
220,560,1
220,580,1
240,0,1
240,20,1
240,40,2
240,60,2
240,80,2
240,100,2
240,120,2
240,140,2
240,160,3
240,180,3
240,200,3
240,220,2
240,240,2
240,260,2
240,280,2
240,300,2
240,320,2
240,340,2
240,360,3
240,380,3
240,400,2
240,420,2
240,440,2
240,460,2
240,480,2
240,500,2
240,520,2
240,540,2
240,560,1
240,580,1
260,0,1
260,20,1
260,40,2
260,60,2
260,80,2
260,100,2
260,120,2
260,140,3
260,160,3
260,180,3
260,200,3
260,220,2
260,240,1
260,260,1
260,280,1
260,300,2
260,320,3
260,340,3
260,360,3
260,380,2
260,400,2
260,420,2
260,440,2
260,460,2
260,480,2
260,500,2
260,520,2
260,540,2
260,560,1
260,580,1
280,0,1
280,20,1
280,40,2
280,60,2
280,80,2
280,100,1
280,120,2
280,140,3
280,160,3
280,180,3
280,200,3
280,220,3
280,240,3
280,260,3
280,280,3
280,300,3
280,320,3
280,340,3
280,360,3
280,380,2
280,400,2
280,420,2
280,440,2
280,460,2
280,480,2
280,500,2
280,520,2
280,540,2
280,560,1
280,580,1
300,0,1
300,20,1
300,40,2
300,60,2
300,80,2
300,100,1
300,120,2
300,140,3
300,160,3
300,180,3
300,200,3
300,220,3
300,240,3
300,260,3
300,280,3
300,300,3
300,320,3
300,340,3
300,360,3
300,380,2
300,400,2
300,420,2
300,440,2
300,460,2
300,480,2
300,500,2
300,520,2
300,540,2
300,560,1
300,580,1
320,0,1
320,20,1
320,40,2
320,60,2
320,80,2
320,100,1
320,120,2
320,140,2
320,160,3
320,180,3
320,200,3
320,220,3
320,240,2
320,260,2
320,280,2
320,300,3
320,320,3
320,340,3
320,360,3
320,380,3
320,400,2
320,420,2
320,440,2
320,460,2
320,480,2
320,500,2
320,520,2
320,540,2
320,560,1
320,580,1
340,0,1
340,20,1
340,40,2
340,60,2
340,80,2
340,100,2
340,120,2
340,140,2
340,160,2
340,180,2
340,200,3
340,220,2
340,240,2
340,260,2
340,280,2
340,300,2
340,320,3
340,340,3
340,360,3
340,380,3
340,400,2
340,420,2
340,440,2
340,460,2
340,480,2
