800,600
0,0,1
0,20,1
0,40,1
0,60,1
0,80,1
0,100,1
0,120,1
0,140,1
0,160,1
0,180,1
0,200,1
0,220,1
0,240,1
0,260,1
0,280,1
0,300,1
0,320,1
0,340,1
0,360,1
0,380,1
0,400,1
0,420,1
0,440,1
0,460,1
0,480,1
0,500,1
0,520,1
0,540,1
0,560,1
0,580,1
20,0,1
20,20,1
20,40,1
20,60,1
20,80,2
20,100,2
20,120,2
20,140,2
20,160,4
20,180,1
20,200,1
20,220,1
20,240,1
20,260,1
20,280,1
20,300,1
20,320,1
20,340,1
20,360,1
20,380,1
20,400,1
20,420,1
20,440,1
20,460,1
20,480,1
20,500,1
20,520,1
20,540,1
20,560,1
20,580,1
40,0,1
40,20,1
40,40,1
40,60,1
40,80,2
40,100,2
40,120,2
40,140,2
40,160,2
40,180,1
40,200,1
40,220,1
40,240,1
40,260,1
40,280,1
40,300,1
40,320,1
40,340,1
40,360,1
40,380,1
40,400,1
40,420,1
40,440,1
40,460,1
40,480,1
40,500,1
40,520,1
40,540,1
40,560,1
40,580,1
60,0,1
60,20,1
60,40,1
60,60,1
60,80,2
60,100,2
60,120,2
60,140,2
60,160,2
60,180,2
60,200,2
60,220,2
60,240,2
60,260,3
60,280,1
60,300,1
60,320,1
60,340,1
60,360,1
60,380,1
60,400,1
60,420,1
60,440,1
60,460,1
60,480,1
60,500,1
60,520,1
60,540,1
60,560,1
60,580,1
80,0,1
80,20,1
80,40,1
80,60,1
80,80,2
80,100,2
80,120,2
80,140,2
80,160,2
80,180,2
80,200,2
80,220,2
80,240,2
80,260,3
80,280,1
80,300,1
80,320,1
80,340,1
80,360,1
80,380,1
80,400,1
80,420,1
80,440,1
80,460,1
80,480,1
80,500,1
80,520,1
80,540,1
80,560,1
80,580,1
100,0,1
100,20,1
100,40,1
100,60,1
100,80,2
100,100,2
100,120,2
100,140,2
100,160,2
100,180,2
100,200,2
100,220,2
100,240,2
100,260,3
100,280,1
100,300,1
100,320,1
100,340,1
100,360,1
100,380,1
100,400,1
100,420,1
100,440,1
100,460,1
100,480,1
100,500,1
100,520,1
100,540,1
100,560,1
100,580,1
120,0,1
120,20,1
120,40,1
120,60,1
120,80,2
120,100,2
120,120,2
120,140,2
120,160,3
120,180,3
120,200,3
120,220,3
120,240,2
120,260,3
120,280,1
120,300,1
120,320,1
120,340,1
120,360,1
120,380,1
120,400,1
120,420,1
120,440,1
120,460,1
120,480,1
120,500,1
120,520,1
120,540,1
120,560,1
120,580,1
140,0,1
140,20,1
140,40,1
140,60,1
140,80,2
140,100,2
140,120,2
140,140,3
140,160,1
140,180,1
140,200,1
140,220,1
140,240,2
140,260,3
140,280,1
140,300,1
140,320,1
140,340,1
140,360,1
140,380,1
140,400,1
140,420,1
140,440,1
140,460,1
140,480,1
140,500,1
140,520,1
140,540,1
140,560,1
140,580,1
160,0,1
160,20,1
160,40,1
160,60,1
160,80,2
160,100,2
160,120,2
160,140,2
160,160,2
160,180,2
160,200,2
160,220,2
160,240,2
160,260,3
160,280,1
160,300,1
160,320,1
160,340,1
160,360,1
160,380,1
160,400,1
160,420,1
160,440,1
160,460,1
160,480,1
160,500,1
160,520,1
160,540,1
160,560,1
160,580,1
180,0,1
180,20,1
180,40,1
180,60,1
180,80,2
180,100,2
180,120,2
180,140,2
180,160,2
180,180,2
180,200,2
180,220,2
180,240,2
180,260,3
180,280,1
180,300,1
180,320,1
180,340,1
180,360,1
180,380,1
180,400,1
180,420,1
180,440,1
180,460,1
180,480,1
180,500,1
180,520,1
180,540,1
180,560,1
180,580,1
200,0,1
200,20,1
200,40,1
200,60,1
200,80,2
200,100,2
200,120,2
200,140,2
200,160,2
200,180,2
200,200,2
200,220,2
200,240,2
200,260,3
200,280,1
200,300,1
200,320,1
200,340,1
200,360,1
200,380,1
200,400,1
200,420,1
200,440,1
200,460,1
200,480,1
200,500,1
200,520,1
200,540,1
200,560,1
200,580,1
220,0,1
220,20,1
220,40,1
220,60,1
220,80,2
220,100,2
220,120,2
220,140,2
220,160,2
220,180,2
220,200,2
220,220,2
220,240,2
220,260,3
220,280,1
220,300,1
220,320,1
220,340,1
220,360,1
220,380,1
220,400,1
220,420,1
220,440,1
220,460,1
220,480,1
220,500,1
220,520,1
220,540,1
220,560,1
220,580,1
240,0,1
240,20,1
240,40,1
240,60,1
240,80,2
240,100,2
240,120,2
240,140,2
240,160,3
240,180,3
240,200,3
240,220,3
240,240,2
240,260,3
240,280,1
240,300,1
240,320,1
240,340,1
240,360,1
240,380,1
240,400,1
240,420,1
240,440,1
240,460,1
240,480,1
240,500,1
240,520,1
240,540,1
240,560,1
240,580,1
260,0,1
260,20,1
260,40,1
260,60,1
260,80,2
260,100,2
260,120,2
260,140,3
260,160,1
260,180,1
260,200,1
260,220,1
260,240,2
260,260,3
260,280,1
260,300,1
260,320,1
260,340,1
260,360,1
260,380,1
260,400,1
260,420,1
260,440,1
260,460,1
260,480,1
260,500,1
260,520,1
260,540,1
260,560,1
260,580,1
280,0,1
280,20,1
280,40,1
280,60,1
280,80,2
280,100,2
280,120,2
280,140,2
280,160,2
280,180,2
280,200,2
280,220,2
280,240,2
280,260,3
280,280,1
280,300,1
280,320,1
280,340,1
280,360,1
280,380,1
280,400,1
280,420,1
280,440,1
280,460,1
280,480,1
280,500,1
280,520,1
280,540,1
280,560,1
280,580,1
300,0,1
300,20,1
300,40,1
300,60,1
300,80,2
300,100,2
300,120,2
300,140,2
300,160,2
300,180,2
300,200,2
300,220,2
300,240,2
300,260,3
300,280,1
300,300,1
300,320,1
300,340,1
300,360,1
300,380,1
300,400,1
300,420,1
300,440,1
300,460,1
300,480,1
300,500,1
300,520,1
300,540,1
300,560,1
300,580,1
320,0,1
320,20,1
320,40,1
320,60,1
320,80,2
320,100,2
320,120,2
320,140,2
320,160,2
320,180,2
320,200,2
320,220,2
320,240,2
320,260,3
320,280,1
320,300,1
320,320,1
320,340,1
320,360,1
320,380,1
320,400,1
320,420,1
320,440,1
320,460,1
320,480,1
320,500,1
320,520,1
320,540,1
320,560,1
320,580,1
340,0,1
340,20,1
340,40,1
340,60,1
340,80,2
340,100,2
340,120,2
340,140,2
340,160,2
340,180,2
340,200,2
340,220,2
340,240,2
340,260,3
340,280,1
340,300,1
340,320,1
340,340,1
340,360,1
340,380,1
340,400,1
340,420,1
340,440,1
340,460,1
340,480,1
