800,600
0,0,1
0,20,1
0,40,1
0,60,1
0,80,1
0,100,1
0,120,1
0,140,1
0,160,1
0,180,1
0,200,1
0,220,1
0,240,1
0,260,1
0,280,1
0,300,1
0,320,1
0,340,1
0,360,1
0,380,1
0,400,1
0,420,1
0,440,1
0,460,1
0,480,1
0,500,1
0,520,1
0,540,1
0,560,1
0,580,1
20,0,1
20,20,1
20,40,1
20,60,1
20,80,1
20,100,1
20,120,1
20,140,1
20,160,1
20,180,1
20,200,1
20,220,1
20,240,2
20,260,2
20,280,2
20,300,2
20,320,2
20,340,1
20,360,1
20,380,2
20,400,2
20,420,2
20,440,1
20,460,1
20,480,1
20,500,1
20,520,1
20,540,1
20,560,1
20,580,1
40,0,1
40,20,1
40,40,1
40,60,1
40,80,2
40,100,2
40,120,2
40,140,2
40,160,2
40,180,2
40,200,2
40,220,2
40,240,2
40,260,2
40,280,2
40,300,2
40,320,2
40,340,1
40,360,1
40,380,4
40,400,2
40,420,2
40,440,2
40,460,1
40,480,1
40,500,1
40,520,1
40,540,1
40,560,1
40,580,1
60,0,1
60,20,1
60,40,1
60,60,2
60,80,2
60,100,2
60,120,2
60,140,2
60,160,2
60,180,2
60,200,2
60,220,2
60,240,2
60,260,2
60,280,3
60,300,1
60,320,1
60,340,1
60,360,1
60,380,2
60,400,2
60,420,2
60,440,2
60,460,2
60,480,3
60,500,2
60,520,1
60,540,1
60,560,1
60,580,1
80,0,1
80,20,1
80,40,1
80,60,2
80,80,2
80,100,2
80,120,2
80,140,2
80,160,2
80,180,2
80,200,2
80,220,2
80,240,2
80,260,2
80,280,1
80,300,1
80,320,1
80,340,1
80,360,1
80,380,2
80,400,2
80,420,2
80,440,2
80,460,2
80,480,2
80,500,2
80,520,1
80,540,1
80,560,1
80,580,1
100,0,1
100,20,1
100,40,1
100,60,2
100,80,2
100,100,2
100,120,1
100,140,1
100,160,2
100,180,2
100,200,2
100,220,3
100,240,2
100,260,2
100,280,1
100,300,1
100,320,1
100,340,1
100,360,1
100,380,1
100,400,1
100,420,1
100,440,2
100,460,2
100,480,2
100,500,2
100,520,1
100,540,1
100,560,1
100,580,1
120,0,1
120,20,1
120,40,3
120,60,3
120,80,2
120,100,2
120,120,1
120,140,1
120,160,3
120,180,3
120,200,3
120,220,1
120,240,1
120,260,1
120,280,1
120,300,1
120,320,1
120,340,1
120,360,1
120,380,1
120,400,1
120,420,1
120,440,2
120,460,2
120,480,2
120,500,2
120,520,2
120,540,1
120,560,1
120,580,1
140,0,1
140,20,1
140,40,3
140,60,3
140,80,2
140,100,2
140,120,1
140,140,1
140,160,2
140,180,2
140,200,2
140,220,1
140,240,1
140,260,1
140,280,1
140,300,1
140,320,1
140,340,1
140,360,1
140,380,1
140,400,1
140,420,1
140,440,1
140,460,2
140,480,2
140,500,2
140,520,2
140,540,1
140,560,1
140,580,1
160,0,1
160,20,1
160,40,1
160,60,2
160,80,2
160,100,2
160,120,1
160,140,1
160,160,2
160,180,2
160,200,2
160,220,1
160,240,1
160,260,1
160,280,1
160,300,1
160,320,1
160,340,1
160,360,1
160,380,1
160,400,1
160,420,1
160,440,1
160,460,2
160,480,2
160,500,2
160,520,2
160,540,2
160,560,1
160,580,1
180,0,1
180,20,1
180,40,1
180,60,2
180,80,2
180,100,2
180,120,2
180,140,2
180,160,2
180,180,2
180,200,2
180,220,1
180,240,1
180,260,1
180,280,1
180,300,1
180,320,1
180,340,1
180,360,1
180,380,1
180,400,1
180,420,1
180,440,1
180,460,1
180,480,2
180,500,2
180,520,2
180,540,2
180,560,1
180,580,1
200,0,1
200,20,1
200,40,1
200,60,1
200,80,2
200,100,2
200,120,2
200,140,2
200,160,2
200,180,2
200,200,2
200,220,1
200,240,1
200,260,1
200,280,1
200,300,1
200,320,1
200,340,1
200,360,1
200,380,1
200,400,1
200,420,1
200,440,1
200,460,1
200,480,2
200,500,2
200,520,2
200,540,2
200,560,2
200,580,1
220,0,1
220,20,1
220,40,1
220,60,1
220,80,2
220,100,2
220,120,2
220,140,2
220,160,2
220,180,2
220,200,2
220,220,2
220,240,2
220,260,1
220,280,1
220,300,1
220,320,1
220,340,1
220,360,1
220,380,1
220,400,1
220,420,1
220,440,1
220,460,1
220,480,2
220,500,2
220,520,2
220,540,3
220,560,3
220,580,1
240,0,1
240,20,1
240,40,1
240,60,1
240,80,1
240,100,2
240,120,2
240,140,2
240,160,2
240,180,2
240,200,2
240,220,2
240,240,2
240,260,2
240,280,1
240,300,1
240,320,1
240,340,1
240,360,1
240,380,1
240,400,1
240,420,1
240,440,1
240,460,1
240,480,2
240,500,2
240,520,2
240,540,2
240,560,2
240,580,1
260,0,1
260,20,1
260,40,1
260,60,1
260,80,1
260,100,1
260,120,1
260,140,2
260,160,2
260,180,2
260,200,2
260,220,2
260,240,3
260,260,3
260,280,1
260,300,1
260,320,1
260,340,1
260,360,1
260,380,1
260,400,1
260,420,1
260,440,1
260,460,1
260,480,2
260,500,2
260,520,3
260,540,3
260,560,1
260,580,1
280,0,1
280,20,1
280,40,1
280,60,1
280,80,1
280,100,1
280,120,1
280,140,1
280,160,1
280,180,2
280,200,2
280,220,2
280,240,3
280,260,3
280,280,1
280,300,1
280,320,1
280,340,1
280,360,1
280,380,1
280,400,1
280,420,1
280,440,1
280,460,2
280,480,2
280,500,2
280,520,2
280,540,2
280,560,1
280,580,1
300,0,1
300,20,1
300,40,1
300,60,1
300,80,1
300,100,1
300,120,1
300,140,1
300,160,1
300,180,2
300,200,2
300,220,2
300,240,3
300,260,3
300,280,1
300,300,1
300,320,1
300,340,1
300,360,1
300,380,1
300,400,2
300,420,2
300,440,2
300,460,2
300,480,2
300,500,2
300,520,2
300,540,2
300,560,1
300,580,1
320,0,1
320,20,1
320,40,2
320,60,2
320,80,3
320,100,2
320,120,2
320,140,2
320,160,2
320,180,2
320,200,2
320,220,2
320,240,2
320,260,2
320,280,1
320,300,1
320,320,1
320,340,1
320,360,2
320,380,2
320,400,2
320,420,2
320,440,2
320,460,2
320,480,2
320,500,2
320,520,2
320,540,2
320,560,1
320,580,1
340,0,1
340,20,2
340,40,2
340,60,2
340,80,2
340,100,2
340,120,2
340,140,2
340,160,2
340,180,2
340,200,2
340,220,2
340,240,2
340,260,1
340,280,1
340,300,1
340,320,1
340,340,1
340,360,2
340,380,2
340,400,2
340,420,2
340,440,2
340,460,2
340,480,2
