800,600
0,0,1
0,20,1
0,40,1
0,60,1
0,80,1
0,100,1
0,120,1
0,140,1
0,160,1
0,180,1
0,200,1
0,220,1
0,240,1
0,260,1
0,280,1
0,300,1
0,320,1
0,340,1
0,360,1
0,380,1
0,400,1
0,420,1
0,440,1
0,460,1
0,480,1
0,500,1
0,520,1
0,540,1
0,560,1
0,580,1
20,0,1
20,20,1
20,40,2
20,60,2
20,80,2
20,100,2
20,120,2
20,140,2
20,160,2
20,180,2
20,200,2
20,220,2
20,240,2
20,260,2
20,280,2
20,300,2
20,320,3
20,340,2
20,360,2
20,380,2
20,400,3
20,420,1
20,440,1
20,460,1
20,480,2
20,500,2
20,520,2
20,540,2
20,560,1
20,580,1
40,0,1
40,20,1
40,40,2
40,60,2
40,80,2
40,100,2
40,120,2
40,140,2
40,160,2
40,180,2
40,200,2
40,220,2
40,240,2
40,260,2
40,280,2
40,300,3
40,320,3
40,340,3
40,360,2
40,380,2
40,400,3
40,420,1
40,440,1
40,460,1
40,480,2
40,500,2
40,520,2
40,540,4
40,560,1
40,580,1
60,0,1
60,20,1
60,40,2
60,60,2
60,80,2
60,100,2
60,120,2
60,140,2
60,160,2
60,180,2
60,200,2
60,220,2
60,240,2
60,260,3
60,280,2
60,300,2
60,320,3
60,340,2
60,360,2
60,380,2
60,400,3
60,420,1
60,440,1
60,460,1
60,480,2
60,500,2
60,520,2
60,540,2
60,560,1
60,580,1
80,0,1
80,20,1
80,40,2
80,60,2
80,80,2
80,100,2
80,120,1
80,140,1
80,160,1
80,180,2
80,200,2
80,220,2
80,240,3
80,260,3
80,280,3
80,300,2
80,320,2
80,340,2
80,360,2
80,380,2
80,400,3
80,420,1
80,440,1
80,460,1
80,480,2
80,500,2
80,520,2
80,540,2
80,560,1
80,580,1
100,0,1
100,20,1
100,40,2
100,60,2
100,80,2
100,100,2
100,120,1
100,140,1
100,160,1
100,180,2
100,200,2
100,220,2
100,240,2
100,260,3
100,280,2
100,300,2
100,320,2
100,340,2
100,360,2
100,380,2
100,400,3
100,420,1
100,440,1
100,460,1
100,480,3
100,500,2
100,520,2
100,540,2
100,560,1
100,580,1
120,0,1
120,20,1
120,40,2
120,60,2
120,80,2
120,100,2
120,120,1
120,140,1
120,160,1
120,180,2
120,200,2
120,220,2
120,240,2
120,260,2
120,280,2
120,300,1
120,320,2
120,340,2
120,360,2
120,380,2
120,400,3
120,420,1
120,440,1
120,460,3
120,480,3
120,500,3
120,520,2
120,540,2
120,560,1
120,580,1
140,0,1
140,20,1
140,40,2
140,60,2
140,80,2
140,100,2
140,120,1
140,140,1
140,160,1
140,180,2
140,200,2
140,220,2
140,240,2
140,260,2
140,280,2
140,300,1
140,320,2
140,340,2
140,360,2
140,380,2
140,400,3
140,420,1
140,440,1
140,460,1
140,480,3
140,500,2
140,520,2
140,540,2
140,560,1
140,580,1
160,0,1
160,20,1
160,40,2
160,60,2
160,80,2
160,100,2
160,120,1
160,140,1
160,160,1
160,180,2
160,200,2
160,220,2
160,240,2
160,260,2
160,280,2
160,300,2
160,320,3
160,340,2
160,360,2
160,380,2
160,400,3
160,420,1
160,440,1
160,460,1
160,480,2
160,500,2
160,520,2
160,540,3
160,560,1
160,580,1
180,0,1
180,20,1
180,40,2
180,60,2
180,80,2
180,100,2
180,120,1
180,140,1
180,160,1
180,180,2
180,200,2
180,220,2
180,240,2
180,260,2
180,280,2
180,300,3
180,320,3
180,340,3
180,360,2
180,380,2
180,400,3
180,420,1
180,440,1
180,460,1
180,480,2
180,500,2
180,520,3
180,540,3
180,560,3
180,580,1
200,0,1
200,20,1
200,40,2
200,60,2
200,80,2
200,100,3
200,120,1
200,140,1
200,160,1
200,180,2
200,200,2
200,220,3
200,240,2
200,260,2
200,280,2
200,300,2
200,320,3
200,340,2
200,360,2
200,380,2
200,400,3
200,420,1
200,440,1
200,460,1
200,480,2
200,500,2
200,520,2
200,540,3
200,560,1
200,580,1
220,0,1
220,20,1
220,40,2
220,60,2
220,80,3
220,100,3
220,120,3
220,140,1
220,160,1
220,180,2
220,200,3
220,220,3
220,240,3
220,260,2
220,280,2
220,300,2
220,320,1
220,340,2
220,360,2
220,380,2
220,400,3
220,420,1
220,440,1
220,460,1
220,480,2
220,500,2
220,520,2
220,540,2
220,560,1
220,580,1
240,0,1
240,20,1
240,40,2
240,60,2
240,80,2
240,100,3
240,120,1
240,140,1
240,160,1
240,180,2
240,200,2
240,220,3
240,240,2
240,260,2
240,280,2
240,300,2
240,320,1
240,340,2
240,360,2
240,380,2
240,400,3
240,420,1
240,440,1
240,460,1
240,480,3
240,500,2
240,520,2
240,540,2
240,560,1
240,580,1
260,0,1
260,20,1
260,40,2
260,60,2
260,80,2
260,100,2
260,120,1
260,140,1
260,160,1
260,180,2
260,200,2
260,220,2
260,240,2
260,260,2
260,280,2
260,300,2
260,320,2
260,340,2
260,360,2
260,380,2
260,400,3
260,420,1
260,440,1
260,460,3
260,480,3
260,500,3
260,520,2
260,540,2
260,560,1
260,580,1
280,0,1
280,20,1
280,40,2
280,60,2
280,80,2
280,100,2
280,120,1
280,140,1
280,160,1
280,180,2
280,200,2
280,220,3
280,240,2
280,260,2
280,280,2
280,300,2
280,320,3
280,340,2
280,360,2
280,380,2
280,400,3
280,420,1
280,440,1
280,460,1
280,480,3
280,500,2
280,520,2
280,540,2
280,560,1
280,580,1
300,0,1
300,20,1
300,40,2
300,60,2
300,80,2
300,100,2
300,120,1
300,140,1
300,160,1
300,180,2
300,200,3
300,220,3
300,240,3
300,260,2
300,280,2
300,300,3
300,320,3
300,340,3
300,360,2
300,380,2
300,400,3
300,420,1
300,440,1
300,460,1
300,480,2
300,500,2
300,520,2
300,540,2
300,560,1
300,580,1
320,0,1
320,20,1
320,40,2
320,60,2
320,80,2
320,100,2
320,120,1
320,140,1
320,160,1
320,180,2
320,200,2
320,220,3
320,240,2
320,260,2
320,280,2
320,300,2
320,320,3
320,340,2
320,360,2
320,380,2
320,400,3
320,420,1
320,440,1
320,460,1
320,480,2
320,500,2
320,520,2
320,540,3
320,560,1
320,580,1
340,0,1
340,20,1
340,40,2
340,60,2
340,80,2
340,100,2
340,120,1
340,140,1
340,160,1
340,180,2
340,200,2
340,220,2
340,240,2
340,260,2
340,280,2
340,300,2
340,320,2
340,340,2
340,360,2
340,380,2
340,400,3
340,420,1
340,440,1
340,460,1
340,480,2
