800,600
0,0,1
0,20,1
0,40,1
0,60,1
0,80,1
0,100,1
0,120,1
0,140,1
0,160,1
0,180,1
0,200,1
0,220,1
0,240,1
0,260,1
0,280,1
0,300,1
0,320,1
0,340,1
0,360,1
0,380,1
0,400,1
0,420,1
0,440,1
0,460,1
0,480,1
0,500,1
0,520,1
0,540,1
0,560,1
0,580,1
20,0,1
20,20,1
20,40,1
20,60,1
20,80,1
20,100,1
20,120,1
20,140,1
20,160,1
20,180,1
20,200,1
20,220,1
20,240,1
20,260,1
20,280,1
20,300,1
20,320,1
20,340,1
20,360,1
20,380,1
20,400,1
20,420,1
20,440,1
20,460,1
20,480,1
20,500,1
20,520,1
20,540,1
20,560,1
20,580,1
40,0,1
40,20,1
40,40,1
40,60,1
40,80,1
40,100,1
40,120,1
40,140,1
40,160,1
40,180,1
40,200,1
40,220,1
40,240,1
40,260,1
40,280,1
40,300,1
40,320,1
40,340,1
40,360,1
40,380,1
40,400,1
40,420,1
40,440,1
40,460,1
40,480,1
40,500,1
40,520,1
40,540,1
40,560,1
40,580,1
60,0,1
60,20,1
60,40,3
60,60,2
60,80,2
60,100,2
60,120,4
60,140,1
60,160,1
60,180,1
60,200,1
60,220,1
60,240,1
60,260,1
60,280,1
60,300,1
60,320,1
60,340,1
60,360,1
60,380,1
60,400,3
60,420,3
60,440,2
60,460,2
60,480,2
60,500,2
60,520,3
60,540,3
60,560,1
60,580,1
80,0,1
80,20,1
80,40,3
80,60,2
80,80,2
80,100,3
80,120,3
80,140,1
80,160,1
80,180,1
80,200,1
80,220,1
80,240,1
80,260,1
80,280,1
80,300,1
80,320,1
80,340,1
80,360,3
80,380,3
80,400,3
80,420,2
80,440,2
80,460,2
80,480,2
80,500,2
80,520,3
80,540,3
80,560,1
80,580,1
100,0,1
100,20,1
100,40,3
100,60,2
100,80,2
100,100,3
100,120,3
100,140,1
100,160,1
100,180,1
100,200,1
100,220,1
100,240,1
100,260,1
100,280,1
100,300,1
100,320,1
100,340,1
100,360,3
100,380,2
100,400,2
100,420,2
100,440,2
100,460,2
100,480,2
100,500,2
100,520,2
100,540,3
100,560,1
100,580,1
120,0,1
120,20,1
120,40,3
120,60,2
120,80,2
120,100,2
120,120,3
120,140,1
120,160,1
120,180,1
120,200,1
120,220,1
120,240,1
120,260,1
120,280,1
120,300,1
120,320,1
120,340,3
120,360,3
120,380,2
120,400,2
120,420,2
120,440,2
120,460,2
120,480,2
120,500,2
120,520,2
120,540,2
120,560,1
120,580,1
140,0,1
140,20,1
140,40,3
140,60,3
140,80,2
140,100,2
140,120,2
140,140,1
140,160,1
140,180,1
140,200,1
140,220,1
140,240,1
140,260,1
140,280,1
140,300,1
140,320,1
140,340,3
140,360,2
140,380,2
140,400,2
140,420,2
140,440,1
140,460,3
140,480,3
140,500,3
140,520,3
140,540,2
140,560,1
140,580,1
160,0,1
160,20,1
160,40,3
160,60,3
160,80,2
160,100,2
160,120,2
160,140,1
160,160,1
160,180,1
160,200,1
160,220,1
160,240,1
160,260,1
160,280,1
160,300,1
160,320,3
160,340,3
160,360,2
160,380,2
160,400,2
160,420,2
160,440,1
160,460,3
160,480,3
160,500,3
160,520,3
160,540,2
160,560,1
160,580,1
180,0,1
180,20,1
180,40,3
180,60,2
180,80,2
180,100,2
180,120,3
180,140,1
180,160,1
180,180,1
180,200,1
180,220,1
180,240,1
180,260,1
180,280,1
180,300,1
180,320,3
180,340,2
180,360,2
180,380,2
180,400,2
180,420,1
180,440,1
180,460,3
180,480,3
180,500,3
180,520,2
180,540,2
180,560,1
180,580,1
200,0,1
200,20,1
200,40,3
200,60,2
200,80,2
200,100,3
200,120,3
200,140,1
200,160,1
200,180,1
200,200,1
200,220,1
200,240,1
200,260,1
200,280,1
200,300,3
200,320,3
200,340,2
200,360,2
200,380,3
200,400,3
200,420,1
200,440,1
200,460,3
200,480,3
200,500,2
200,520,2
200,540,2
200,560,1
200,580,1
220,0,1
220,20,1
220,40,3
220,60,2
220,80,2
220,100,3
220,120,3
220,140,1
220,160,1
220,180,1
220,200,1
220,220,1
220,240,1
220,260,1
220,280,1
220,300,3
220,320,2
220,340,2
220,360,2
220,380,2
220,400,1
220,420,1
220,440,1
220,460,3
220,480,2
220,500,2
220,520,2
220,540,2
220,560,1
220,580,1
240,0,1
240,20,1
240,40,3
240,60,2
240,80,2
240,100,2
240,120,3
240,140,1
240,160,1
240,180,1
240,200,1
240,220,1
240,240,1
240,260,1
240,280,1
240,300,3
240,320,2
240,340,2
240,360,2
240,380,2
240,400,1
240,420,1
240,440,1
240,460,3
240,480,2
240,500,2
240,520,3
240,540,3
240,560,1
240,580,1
260,0,1
260,20,1
260,40,3
260,60,2
260,80,2
260,100,2
260,120,2
260,140,1
260,160,1
260,180,1
260,200,1
260,220,1
260,240,1
260,260,1
260,280,3
260,300,3
260,320,2
260,340,2
260,360,2
260,380,2
260,400,1
260,420,1
260,440,1
260,460,3
260,480,2
260,500,2
260,520,2
260,540,2
260,560,1
260,580,1
280,0,1
280,20,1
280,40,3
280,60,2
280,80,2
280,100,2
280,120,2
280,140,1
280,160,1
280,180,1
280,200,1
280,220,1
280,240,1
280,260,1
280,280,3
280,300,2
280,320,2
280,340,2
280,360,2
280,380,1
280,400,1
280,420,1
280,440,1
280,460,3
280,480,3
280,500,2
280,520,2
280,540,2
280,560,1
280,580,1
300,0,1
300,20,1
300,40,3
300,60,2
300,80,2
300,100,2
300,120,2
300,140,1
300,160,1
300,180,1
300,200,1
300,220,1
300,240,1
300,260,1
300,280,3
300,300,3
300,320,3
300,340,2
300,360,2
300,380,1
300,400,1
300,420,1
300,440,1
300,460,3
300,480,3
300,500,3
300,520,2
300,540,2
300,560,1
300,580,1
320,0,1
320,20,1
320,40,3
320,60,2
320,80,2
320,100,3
320,120,3
320,140,1
320,160,1
320,180,1
320,200,1
320,220,1
320,240,1
320,260,3
320,280,3
320,300,3
320,320,3
320,340,2
320,360,1
320,380,1
320,400,1
320,420,1
320,440,1
320,460,3
320,480,3
320,500,3
320,520,3
320,540,2
320,560,1
320,580,1
340,0,1
340,20,1
340,40,3
340,60,3
340,80,2
340,100,2
340,120,2
340,140,1
340,160,1
340,180,1
340,200,1
340,220,1
340,240,1
340,260,3
340,280,3
340,300,3
340,320,2
340,340,2
340,360,1
340,380,1
340,400,1
340,420,1
340,440,1
340,460,3
340,480,3
