800,600
0,0,1
0,20,1
0,40,1
0,60,1
0,80,1
0,100,1
0,120,1
0,140,1
0,160,1
0,180,1
0,200,1
0,220,1
0,240,1
0,260,1
0,280,1
0,300,1
0,320,1
0,340,1
0,360,1
0,380,1
0,400,1
0,420,1
0,440,1
0,460,1
0,480,1
0,500,1
0,520,1
0,540,1
0,560,1
0,580,1
20,0,1
20,20,1
20,40,1
20,60,1
20,80,3
20,100,3
20,120,1
20,140,1
20,160,1
20,180,1
20,200,1
20,220,1
20,240,1
20,260,1
20,280,1
20,300,3
20,320,3
20,340,3
20,360,1
20,380,1
20,400,3
20,420,1
20,440,1
20,460,1
20,480,1
20,500,3
20,520,1
20,540,1
20,560,1
20,580,1
40,0,1
40,20,2
40,40,2
40,60,2
40,80,2
40,100,2
40,120,2
40,140,2
40,160,2
40,180,2
40,200,1
40,220,1
40,240,2
40,260,2
40,280,2
40,300,2
40,320,2
40,340,2
40,360,2
40,380,2
40,400,2
40,420,2
40,440,2
40,460,2
40,480,2
40,500,2
40,520,2
40,540,2
40,560,4
40,580,1
60,0,1
60,20,2
60,40,2
60,60,2
60,80,2
60,100,2
60,120,2
60,140,2
60,160,2
60,180,4
60,200,1
60,220,1
60,240,2
60,260,2
60,280,2
60,300,2
60,320,2
60,340,2
60,360,2
60,380,2
60,400,2
60,420,2
60,440,2
60,460,2
60,480,2
60,500,2
60,520,2
60,540,2
60,560,2
60,580,1
80,0,1
80,20,2
80,40,2
80,60,2
80,80,2
80,100,2
80,120,2
80,140,2
80,160,2
80,180,2
80,200,1
80,220,1
80,240,2
80,260,2
80,280,2
80,300,2
80,320,2
80,340,2
80,360,2
80,380,2
80,400,2
80,420,2
80,440,2
80,460,2
80,480,2
80,500,2
80,520,2
80,540,2
80,560,2
80,580,1
100,0,1
100,20,2
100,40,2
100,60,2
100,80,2
100,100,2
100,120,2
100,140,2
100,160,2
100,180,2
100,200,1
100,220,1
100,240,2
100,260,2
100,280,2
100,300,2
100,320,2
100,340,2
100,360,2
100,380,1
100,400,1
100,420,1
100,440,3
100,460,1
100,480,1
100,500,1
100,520,2
100,540,2
100,560,2
100,580,1
120,0,1
120,20,2
120,40,2
120,60,2
120,80,2
120,100,2
120,120,2
120,140,2
120,160,2
120,180,2
120,200,1
120,220,1
120,240,2
120,260,2
120,280,2
120,300,2
120,320,2
120,340,2
120,360,2
120,380,1
120,400,1
120,420,1
120,440,1
120,460,1
120,480,1
120,500,1
120,520,2
120,540,2
120,560,2
120,580,1
140,0,1
140,20,2
140,40,2
140,60,2
140,80,2
140,100,2
140,120,2
140,140,2
140,160,2
140,180,2
140,200,1
140,220,1
140,240,2
140,260,2
140,280,2
140,300,2
140,320,2
140,340,2
140,360,2
140,380,1
140,400,1
140,420,1
140,440,1
140,460,1
140,480,1
140,500,3
140,520,2
140,540,2
140,560,2
140,580,3
160,0,1
160,20,2
160,40,2
160,60,2
160,80,2
160,100,2
160,120,2
160,140,2
160,160,2
160,180,2
160,200,1
160,220,1
160,240,2
160,260,2
160,280,2
160,300,2
160,320,2
160,340,2
160,360,2
160,380,1
160,400,1
160,420,1
160,440,1
160,460,1
160,480,1
160,500,3
160,520,2
160,540,2
160,560,2
160,580,3
180,0,1
180,20,2
180,40,2
180,60,2
180,80,2
180,100,2
180,120,2
180,140,1
180,160,2
180,180,2
180,200,1
180,220,1
180,240,2
180,260,2
180,280,2
180,300,2
180,320,2
180,340,3
180,360,3
180,380,3
180,400,1
180,420,1
180,440,1
180,460,1
180,480,1
180,500,3
180,520,2
180,540,2
180,560,2
180,580,3
200,0,1
200,20,2
200,40,2
200,60,2
200,80,2
200,100,2
200,120,2
200,140,1
200,160,2
200,180,2
200,200,1
200,220,1
200,240,2
200,260,2
200,280,2
200,300,2
200,320,2
200,340,3
200,360,3
200,380,3
200,400,1
200,420,1
200,440,1
200,460,1
200,480,1
200,500,1
200,520,2
200,540,2
200,560,2
200,580,1
220,0,1
220,20,2
220,40,2
220,60,2
220,80,2
220,100,2
220,120,2
220,140,1
220,160,2
220,180,2
220,200,1
220,220,1
220,240,2
220,260,2
220,280,2
220,300,2
220,320,2
220,340,2
220,360,2
220,380,1
220,400,1
220,420,1
220,440,1
220,460,1
220,480,1
220,500,1
220,520,2
220,540,2
220,560,2
220,580,1
240,0,1
240,20,2
240,40,2
240,60,2
240,80,2
240,100,2
240,120,2
240,140,1
240,160,2
240,180,2
240,200,1
240,220,1
240,240,2
240,260,2
240,280,2
240,300,2
240,320,2
240,340,2
240,360,2
240,380,1
240,400,1
240,420,1
240,440,1
240,460,1
240,480,1
240,500,1
240,520,2
240,540,2
240,560,2
240,580,1
260,0,1
260,20,2
260,40,2
260,60,2
260,80,2
260,100,2
260,120,2
260,140,1
260,160,2
260,180,2
260,200,1
260,220,1
260,240,2
260,260,2
260,280,2
260,300,2
260,320,2
260,340,2
260,360,2
260,380,1
260,400,1
260,420,1
260,440,1
260,460,1
260,480,1
260,500,1
260,520,2
260,540,2
260,560,2
260,580,1
280,0,1
280,20,2
280,40,2
280,60,2
280,80,2
280,100,2
280,120,2
280,140,1
280,160,2
280,180,2
280,200,1
280,220,1
280,240,2
280,260,2
280,280,2
280,300,2
280,320,2
280,340,2
280,360,2
280,380,1
280,400,1
280,420,1
280,440,1
280,460,1
280,480,1
280,500,1
280,520,2
280,540,2
280,560,2
280,580,1
300,0,1
300,20,2
300,40,2
300,60,2
300,80,1
300,100,2
300,120,2
300,140,1
300,160,2
300,180,2
300,200,1
300,220,1
300,240,2
300,260,2
300,280,2
300,300,1
300,320,2
300,340,2
300,360,2
300,380,1
300,400,1
300,420,1
300,440,1
300,460,1
300,480,1
300,500,2
300,520,2
300,540,2
300,560,2
300,580,1
320,0,1
320,20,2
320,40,2
320,60,2
320,80,1
320,100,2
320,120,2
320,140,1
320,160,2
320,180,2
320,200,1
320,220,1
320,240,2
320,260,2
320,280,2
320,300,2
320,320,2
320,340,2
320,360,2
320,380,1
320,400,1
320,420,1
320,440,1
320,460,1
320,480,1
320,500,2
320,520,2
320,540,2
320,560,2
320,580,3
340,0,1
340,20,2
340,40,2
340,60,2
340,80,1
340,100,2
340,120,2
340,140,2
340,160,2
340,180,2
340,200,1
340,220,1
340,240,2
340,260,2
340,280,2
340,300,2
340,320,2
340,340,2
340,360,2
340,380,1
340,400,1
340,420,1
340,440,1
340,460,1
340,480,1
